pulp_to_mixing_tank23,flow_after_machine_chest21,level_condensate_bucket1_valve_position,steam_group3_pressure,steam_group4under_pressure,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,steamflow
151.35,2479.4,36.066,232.86,248.22,247.97,248.54,247.76,72.75,9.7258,138.85,16.492
151.78,2477.2,36.961,232.2,246.98,246.21,246.9,246.86,68.375,9.7445,138.23,16.574
151.45,2482.7,34.868,231.98,247.23,246.27,246.96,246.86,68.875,9.7509,138.55,16.61
151.37,2483.3,35.488,232.53,247.73,248.07,247.92,247.81,69.875,9.7049,138.83,16.61
150.49,2476.9,36.376,233.34,248.96,248.44,248.98,249.13,69.5,9.7069,139.46,16.257
151.73,2479.3,36.638,230.04,244.97,245.73,244.73,249.13,69.094,9.7451,140.23,16.631
151.44,2479.1,33.868,234.52,249.96,250.22,250.34,249.62,72.976,9.7349,140.34,16.685
153.21,2508.8,35.906,236.26,252.34,251,251.78,251.9,75.375,9.742,140.62,16.575
148.04,2437.8,35.906,237.59,251.71,252.18,251.81,251.93,74.675,9.6825,136.78,16.57
145.92,2392.8,36.024,232.66,251.45,251.77,251.51,251.64,70.875,9.7522,136.41,16.59
148.91,2426.3,35.938,236.32,251.45,251.77,247.17,247.19,73.04,9.7118,135.95,16.79
148.37,2430.2,34.25,231.09,246.58,246.26,247.06,246.83,68.5,9.7164,136.98,16.46
148.13,2429.7,34.334,234.93,249.5,249.62,249.81,249.52,71.5,9.7286,138.44,16.676
132.93,2193,34.334,165.26,180.28,180.89,182.77,180.35,30.875,9.7286,126.49,16.676
143.85,2345.5,34.77,197.1,211.97,212.41,212.06,211.64,59.875,9.7363,134.24,16.739
144.41,2354.2,35.56,214.7,229.54,230.6,229.52,229.49,77.125,9.7363,133.94,16.461
144.29,2351.1,42.217,244.41,258.59,259.26,258.07,258.76,95.25,9.7301,134.65,17.693
143.52,2354.7,41.061,230.99,246.21,245.93,246.16,246.96,96,9.7611,133.33,16.027
143.09,2345.9,41.134,237.58,252.44,252.1,252.8,253.78,96.875,9.7231,132.49,18.976
143.17,2338.4,39.64,203.47,219.34,219.61,219.56,219.1,68.875,9.6959,133.17,16.79
142.96,2329,33.778,208.56,219.59,219.61,222.7,223.65,69.125,9.6434,132.22,16.798
144.07,2335.9,35.701,204.8,223.49,219.39,222.7,223.65,72.875,9.7392,131.97,16.798
142.2,2331.1,34.262,207.71,223.49,224.29,222.77,223.67,72.875,9.6849,131.68,16.852
141.13,2332.5,39.559,215.68,230.95,230.92,230.9,230.65,77,9.718,131.5,16.822
162.22,2660,54.459,219.14,234.87,235,234.91,234.85,69.08,10.463,154.52,20.001
161.57,2678.8,35.968,219.14,234.87,235,234.91,234.85,55.75,10.645,155.48,18.37
165.58,2726.9,35.755,223.57,239,238.91,239.14,238.98,57.657,10.809,159.39,19.014
170.4,2796.1,31.396,231.34,246.32,245.53,246.32,246.34,64.53,11.099,162.24,19.2
169.82,2809.6,40.888,230.76,244.77,245.16,244.71,244.46,62.125,11.094,163.03,19.099
166.49,2809.4,29.641,202.92,217.84,218.01,217.93,217.39,43.201,10.839,160.78,19.355
172.23,2809.4,32.489,203.32,218.31,217.71,218.27,218.38,55.74,10.865,163.96,19.055
171.58,2820.7,32.489,209.03,224.32,224.15,223.96,224.25,60.125,10.974,164.09,19.015
171.08,2816.7,39.503,214,228.43,228.46,228.57,228.77,65.375,10.949,163.62,19.098
169.97,2800,39.503,219.1,235.16,234.67,235.37,235.05,72.071,10.967,165.09,19.291
170.59,2805.8,40.998,226.62,242.15,241.62,241.74,241.56,77.25,11.037,162.01,19.251
171.45,2808.4,37.334,223.83,239.59,238.56,239.16,238.79,75.486,10.996,163.79,19.124
171.3,2798.7,37.334,221.81,237.14,236.68,237.43,237.15,74,11.054,163.54,18.965
171.05,2804.4,37.074,227.15,242.05,242.09,242.09,242.35,77.875,11.099,163.42,19.05
169.51,2792.4,38.465,226.69,242.42,241.5,241.88,242.22,77.25,11.088,163.01,19.077
170.17,2792.3,35.973,234.84,249.91,249.53,250.13,250.29,84,11.12,163.04,19.034
169.35,2781.6,39.896,237.58,252.29,252.35,252.48,252.31,89.254,11.058,162.98,19.122
169.69,2788.2,37.809,238.15,253.29,252.67,253.34,253.13,86.5,11.051,162.49,19.251
168.13,2791.3,28.336,194.39,210.02,209.53,209.52,209.58,50.394,10.912,161.93,18.47
170.52,2811.5,28.01,185.62,201.08,200.68,201.67,201.1,39.968,10.932,163.79,18.388
168.82,2780.1,29.36,183.21,197.69,196.84,197.3,196.88,34.875,10.934,163.45,18.762
168.39,2770.7,34.37,201.29,215.02,215.13,216.01,215.4,51.5,10.934,163.38,19.525
168.71,2771.4,33.147,204.24,219.35,219.74,219.24,218.94,59.409,10.935,163.38,18.604
168.77,2768.6,32.124,212.3,226.99,226.85,226.67,226.71,64.625,10.951,163.72,18.979
168.82,2777.5,41.175,220.94,234.16,235.94,235.13,234.98,71.375,10.998,163.32,19.125
167.52,2764.8,34.942,217.87,232.11,232.66,235.13,232.52,67.875,10.975,160.19,18.537
167.04,2748.4,38.975,220.35,235.12,234.87,235.26,234.57,72.25,10.955,158.23,18.562
134.83,2233.5,26.978,130.67,146.17,146.49,145.37,146.18,2.5,9.6654,128,16.704
134.61,2205.2,30.922,173.13,188.26,187.28,188.46,188.38,24,9.5836,127.13,17.066
163.97,2696.8,35.064,206.75,221.98,222.87,221.77,222.5,57.875,11.03,156.33,18.469
167.96,2766.6,28.812,194.27,209.41,209.39,209.44,209.51,45.5,11.034,161.66,18.808
167.59,2760.4,42.399,215.8,230.39,230.79,230.4,230.49,66.625,11.034,161.96,18.939
166.37,2741.2,35.852,216.53,231.95,231.89,232.51,231.83,67.125,11.118,161.34,18.862
166.85,2745.5,37.529,212.8,228.11,227.9,228.12,228.22,64.25,11.118,159.66,18.67
168.95,2784.9,34.523,210.3,226.42,225.39,225.73,225.61,59.75,11.114,159.09,18.41
167.31,2754.3,34.523,205.31,220.4,225.22,225.36,224.94,59.5,11.165,159.05,18.742
165.99,2733.2,35.085,209.57,225.2,225.22,225.36,224.94,59.5,11.053,159.67,18.617
164.72,2722.3,37.749,213.15,228.77,228.15,225.81,228.66,63.25,11.115,160.38,18.457
167.02,2769.4,36.201,210.32,225.93,225.67,225.81,226.03,62.053,11.11,160.38,18.055
167.02,2809.4,33.763,217.71,233.27,232.05,232.96,232.66,67.125,11.11,160.7,18.773
